Name,Electricity_kWh,Car_km,Short_Haul_Flights,Long_Haul_Flights,Electricity_Emissions_kg,Car_Emissions_kg,Flight_Emissions_kg,Total_Emissions_kg,Total_Emissions_tons
User_1,3621.7808319315373,7851.170512077179,3,1,1720.3458951674802,1507.4247383188185,770,3997.7706334862987,3.9977706334862986
User_2,7655.000144869413,7409.363972159995,0,0,3636.1250688129708,1422.5978826547191,0,5058.72295146769,5.05872295146769
User_3,6123.957592679835,27187.6374156311,1,1,2908.8798565229217,5220.0263838011715,550,8678.906240324093,8.678906240324093
User_4,5190.609389379256,7486.385995485183,2,0,2465.5394599551464,1437.3861111331553,220,4122.925571088302,4.1229255710883015
User_5,2092.1304830970557,8158.49178385893,0,0,993.7619794711014,1566.4304225009146,0,2560.192401972016,2.560192401972016
User_6,2091.9616423534185,22781.947872538913,2,0,993.6817801178737,4374.133991527471,220,5587.815771645345,5.587815771645345
User_7,1406.5852851773961,13492.1952735162,1,0,668.1280104592631,2590.5014925151104,110,3368.6295029743733,3.368629502974373
User_8,7063.233020424546,23301.316708655435,3,1,3355.035684701659,4473.8528080618435,770,8598.888492763503,8.598888492763503
User_9,5207.805082202462,1960.9847269315571,1,2,2473.707414046169,376.509067570859,990,3840.216481617028,3.840216481617028
User_10,5956.508044572319,14627.13581020153,4,0,2829.341321171851,2808.4100755586937,440,6077.751396730545,6.0777513967305445
User_11,1144.0914600706171,1008.4080054984789,0,1,543.4434435335431,193.61433705570795,440,1177.057780589251,1.177057780589251
User_12,7789.36896513396,1879.5961036606357,2,0,3699.950258438631,360.88245190284204,220,4280.832710341473,4.280832710341473
User_13,6827.098485602952,27193.12360033233,1,1,3242.8717806614018,5221.079731263807,550,9013.951511925208,9.013951511925208
User_14,2486.373774747933,4177.361133527855,1,1,1181.0275430052682,802.0533376373481,550,2533.080880642616,2.533080880642616
User_15,2272.774770449704,15972.620468256513,6,1,1079.5680159636095,3066.7431299052505,1100,5246.31114586886,5.24631114586886
User_16,2283.8315689740366,12332.868078021196,2,1,1084.8199952626674,2367.91067098007,660,4112.730666242737,4.112730666242737
User_17,3129.695700716764,10420.29978776528,1,0,1486.6054578404628,2000.6975592509336,110,3597.303017091396,3.597303017091396
User_18,4673.295021425665,26995.000370618174,2,0,2219.8151351771908,5183.04007115869,220,7622.85520633588,7.62285520633588
User_19,4023.6151304948103,654.701903264685,5,0,1911.2171869850347,125.70276542681952,550,2586.919952411854,2.586919952411854
User_20,3038.6039813862935,19913.690585267672,1,0,1443.3368911584894,3823.4285923713933,110,5376.765483529883,5.376765483529883
User_21,5282.970263056656,28901.83302640651,3,0,2509.4108749519114,5549.15194107005,330,8388.562816021962,8.388562816021961
User_22,1976.4570245642929,16805.045503855257,1,0,938.8170866680391,3226.5687367402093,110,4275.385823408248,4.275385823408248
User_23,3045.012539746527,28104.673860992756,1,0,1446.3809563796003,5396.097381310609,110,6952.47833769021,6.952478337690209
User_24,3564.532903055842,1567.736378580713,0,0,1693.1531289515249,301.0053846874969,0,1994.1585136390217,1.9941585136390219
User_25,4192.489889519251,12563.799572224842,3,1,1991.432697521644,2412.2495178671697,770,5173.682215388813,5.173682215388814
User_26,6496.231729751095,7804.7337288615345,3,1,3085.71007163177,1498.5088759414145,770,5354.218947573185,5.354218947573185
User_27,2397.7164751085184,21924.628949421895,2,0,1138.9153256765462,4209.528758289004,220,5568.444083965551,5.5684440839655505
User_28,4599.641068895281,29438.912714917402,1,0,2184.8295077252583,5652.271241264141,110,7947.1007489894,7.9471007489894
User_29,5146.901982034297,7695.901873327434,1,0,2444.778441466291,1477.6131596788673,110,4032.3916011451583,4.032391601145158
User_30,1325.152889039984,19625.238044222235,2,2,629.4476222939924,3768.0457044906693,1100,5497.493326784662,5.497493326784662
User_31,5252.813963310068,5942.928982792204,0,0,2495.0866325722823,1141.0423646961033,0,3636.1289972683853,3.6361289972683855
User_32,2193.6688658110406,16959.9076371483,0,0,1041.9927112602443,3256.3022663324737,0,4298.294977592718,4.298294977592718
User_33,1455.3611508969566,13917.974600650086,2,0,691.2965466760544,2672.2511233248165,220,3583.5476700008708,3.5835476700008706
User_34,7642.198760773333,29160.159888946113,2,0,3630.044411367333,5598.750698677653,220,9448.795110044986,9.448795110044987
User_35,7759.424231521915,18255.818180893995,2,0,3685.7265099729098,3505.1170907316473,220,7410.843600704557,7.410843600704556
User_36,6658.781436815228,10485.191162604564,0,1,3162.921182487233,2013.1567032200762,440,5616.077885707309,5.616077885707309
User_37,3132.2963842135946,3422.8735466380012,0,2,1487.8407825014574,657.1917209544963,880,3025.0325034559537,3.0250325034559538
User_38,1683.704798044687,4537.404862048037,1,1,799.7597790712264,871.1817335132231,550,2220.9415125844494,2.2209415125844494
User_39,5789.631185585098,6759.507898537053,2,1,2750.0748131529217,1297.8255165191142,660,4707.900329672036,4.707900329672036
User_40,4081.067456177209,7528.9998402089395,0,0,1938.507041684174,1445.5679693201164,0,3384.0750110042904,3.3840750110042905
User_41,1854.2676439134518,25518.481735234134,1,2,880.7771308588896,4899.5484931649535,990,6770.325624023843,6.770325624023843
User_42,4466.238370778891,16836.683648475748,1,1,2121.463226119973,3232.6432605073437,550,5904.106486627317,5.904106486627318
User_43,1240.7196478065289,15701.727341230993,3,0,589.3418327081012,3014.731649516351,330,3934.073482224452,3.934073482224452
User_44,7365.242814551474,3443.0661560765243,0,0,3498.49033691195,661.0687019666926,0,4159.559038878643,4.159559038878643
User_45,2811.4598712001184,25804.190800483047,0,0,1335.4434388200561,4954.404633692745,0,6289.848072512801,6.289848072512801
User_46,5637.655990477874,21684.429096254513,1,1,2677.88659547699,4163.410386480867,550,7391.296981957857,7.391296981957857
User_47,3181.977532625877,2030.0508570000475,2,0,1511.4393279972915,389.76976454400915,220,2121.2090925413004,2.1212090925413003
User_48,4640.476148244676,21235.05291689306,1,0,2204.2261704162206,4077.130160043467,110,6391.356330459688,6.391356330459688
User_49,4826.971955402958,16306.146520279382,4,0,2292.8116788164048,3130.7801318936413,440,5863.591810710046,5.863591810710046
User_50,2293.9811886786893,2451.7603724033474,2,1,1089.6410646223774,470.7379915014427,660,2220.37905612382,2.22037905612382
User_51,7787.09239435191,13749.019245859694,0,0,3698.8688873171573,2639.8116952050614,0,6338.680582522218,6.338680582522218
User_52,6425.929763527802,14540.888613901408,1,0,3052.316637675706,2791.8506138690705,110,5954.167251544776,5.954167251544776
User_53,7576.492590949324,4973.236204898272,3,0,3598.833980700929,954.8613513404683,330,4883.695332041397,4.8836953320413965
User_54,7263.7914529935415,28370.94441000847,2,0,3450.300940171932,5447.221326721627,220,9117.522266893558,9.117522266893559
User_55,5185.299851677596,25499.26114441986,1,0,2463.017429546858,4895.858139728613,110,7468.875569275471,7.468875569275471
User_56,7453.119645161818,20070.670119873248,0,1,3540.2318314518634,3853.568663015664,440,7833.800494467527,7.833800494467527
User_57,1619.4475143634363,13868.866830018216,0,0,769.2375693226322,2662.8224313634973,0,3432.0600006861296,3.4320600006861297
User_58,2371.880036934016,12352.966247535256,3,0,1126.6430175436576,2371.7695195267693,330,3828.412537070427,3.828412537070427
User_59,1316.5910223737665,19529.204014528626,3,1,625.380735627539,3749.607170789496,770,5144.987906417035,5.144987906417035
User_60,3277.3123153428505,16362.956082207163,0,1,1556.723349787854,3141.6875677837756,440,5138.410917571629,5.13841091757163
User_61,3720.741027826374,1868.1931764565684,2,1,1767.3519882175276,358.69308987966116,660,2786.0450780971887,2.786045078097189
User_62,2899.4432224172715,15375.07946310995,0,0,1377.2355306482038,2952.0152569171105,0,4329.250787565315,4.329250787565314
User_63,6801.162564063506,24192.108516985183,4,0,3230.552217930165,4644.884835261155,440,8315.43705319132,8.315437053191319
User_64,3497.2732868551248,13777.196327908741,0,0,1661.2048112561843,2645.2216949584786,0,4306.426506214662,4.306426506214662
User_65,2966.541567811665,1558.6973266280525,1,2,1409.107244710541,299.26988671258607,990,2698.377131423127,2.6983771314231273
User_66,4798.872582107739,23588.345981520994,2,3,2279.464476501176,4528.9624284520305,1540,8348.426904953207,8.348426904953207
User_67,1986.4695748233385,6040.913464079232,0,0,943.5730480410857,1159.8553851032125,0,2103.428433144298,2.1034284331442983
User_68,6615.378865278278,7758.625046641163,1,0,3142.3049610071816,1489.6560089551033,110,4741.960969962285,4.741960969962285
User_69,1521.8545057583956,4941.190602968877,0,1,722.8808902352379,948.7085957700244,440,2111.589486005262,2.111589486005262
User_70,7908.208556203621,9906.451946144927,3,0,3756.39906419672,1902.0387736598261,330,5988.437837856546,5.988437837856546
User_71,6405.713385076602,22702.54517065905,3,0,3042.7138579113857,4358.888672766538,330,7731.602530677923,7.731602530677923
User_72,2391.009770739207,15581.57578511812,1,0,1135.7296411011232,2991.6625507426793,110,4237.392191843803,4.237392191843803
User_73,1038.6548198652167,6146.4382245213765,2,1,493.36103943597794,1180.1161391081043,660,2333.4771785440826,2.3334771785440824
User_74,6708.229999183839,26334.902344561226,0,1,3186.4092496123235,5056.301250155755,440,8682.710499768078,8.682710499768078
User_75,5948.00140693332,26387.455648545874,1,0,2825.300668293327,5066.391484520808,110,8001.692152814136,8.001692152814135
User_76,6103.050176286911,26117.352751380207,3,0,2898.9488337362823,5014.531728265,330,8243.480562001283,8.243480562001283
User_77,6398.89242680162,7163.886341446178,3,0,3039.473902730769,1375.4661775576662,330,4744.940080288436,4.744940080288436
User_78,1518.3125621386325,13537.180325429643,0,0,721.1984670158504,2599.1386224824914,0,3320.337089498342,3.320337089498342
User_79,3509.2600998099083,29549.689684226254,0,0,1666.8985474097065,5673.540419371441,0,7340.438966781147,7.340438966781147
User_80,1811.083416675908,23160.37428929971,1,1,860.2646229210562,4446.791863545544,550,5857.0564864666,5.8570564864666
User_81,7041.723981129155,815.0226367667946,2,1,3344.8188910363483,156.48434625922457,660,4161.303237295573,4.161303237295573
User_82,5363.086887792905,1956.1377378147615,0,0,2547.46627170163,375.5784456604342,0,2923.044717362064,2.923044717362064
User_83,3316.2861739685445,13917.941304369982,1,0,1575.2359326350586,2672.2447304390366,110,4357.480663074095,4.357480663074095
User_84,1444.9084520021654,27276.606175846806,2,0,686.3315147010285,5237.108385762587,220,6143.439900463616,6.143439900463616
User_85,3176.876252009635,16161.053938581426,0,0,1509.0162197045765,3102.922356207634,0,4611.938575912211,4.611938575912211
User_86,3276.2832541872294,14934.375241028707,0,0,1556.234545738934,2867.4000462775116,0,4423.634592016446,4.4236345920164455
User_87,6107.243248366449,3164.2109986989176,0,0,2900.940542974063,607.5285117501921,0,3508.4690547242553,3.508469054724255
User_88,5462.902299486492,19703.40314172882,2,0,2594.8785922560833,3783.0534032119335,220,6597.931995468017,6.5979319954680165
User_89,7210.489198034285,24663.094818006764,2,0,3424.9823690662856,4735.314205057299,220,8380.296574123584,8.380296574123584
User_90,4305.504476133645,11412.60022522687,2,1,2045.1146261634813,2191.219243243559,660,4896.333869407041,4.896333869407041
User_91,1837.1597215681118,23268.355527759824,1,0,872.650867744853,4467.524261329886,110,5450.175129074739,5.450175129074739
User_92,5992.713510560965,28934.29961702435,4,1,2846.5389175164582,5555.385526468675,880,9281.924443985134,9.281924443985133
User_93,6325.495340318282,6112.993773830673,2,1,3004.6102866511837,1173.6948045754891,660,4838.305091226673,4.8383050912266725
User_94,4928.940382986473,15699.888935842238,2,0,2341.2466819185747,3014.37867568171,220,5575.625357600285,5.575625357600285
User_95,6396.770259681927,8614.138742537267,1,1,3038.4658733489155,1653.9146385671552,550,5242.380511916071,5.24238051191607
User_96,4456.569174550736,23785.63257101518,1,2,2116.8703579115995,4566.841453634915,990,7673.711811546515,7.673711811546514
User_97,4659.129805673958,17327.800976434726,2,0,2213.08665769513,3326.9377874754673,220,5760.024445170597,5.760024445170597
User_98,3992.787128509847,19037.47252650911,2,0,1896.5738860421773,3655.194725089749,220,5771.768611131926,5.771768611131926
User_99,1177.9338872086664,23937.424788476823,1,0,559.5185964241165,4595.98555938755,110,5265.504155811666,5.265504155811667
User_100,1755.2399889531312,11879.114179873646,2,0,833.7389947527373,2280.78992253574,220,3334.5289172884773,3.3345289172884773
User_101,1220.0042998071397,27452.702052211298,2,0,579.5020424083913,5270.918794024569,220,6070.420836432961,6.070420836432961
User_102,5454.872878846463,15990.866017384198,0,0,2591.06461745207,3070.2462753377663,0,5661.310892789836,5.661310892789835
